Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Cameron Johnson,G,36,36,29.9,5.9,11.6,.506,2.7,5.8,.457,3.2,5.8,.556,.621,2.5,3.1,.818,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5,16.9,,cameron-johnson-4
2,Coby White,G,35,35,28.5,5.4,12.7,.423,2.3,6.6,.353,3.0,6.1,.500,.516,3.0,3.7,.800,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,,coby-white-1
3,Luke Maye,F,36,36,30.9,5.5,12.8,.430,1.0,3.5,.288,4.5,9.3,.484,.470,2.9,3.7,.774,2.6,7.9,10.5,2.3,0.6,0.6,2.0,2.6,14.9,,luke-maye-1
4,Nassir Little,F,36,0,18.2,3.6,7.6,.478,0.4,1.4,.269,3.3,6.2,.527,.504,2.1,2.8,.770,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,,nassir-little-1
5,Kenny Williams,G,36,36,30.0,3.0,7.4,.399,1.2,4.1,.295,1.8,3.4,.525,.479,1.4,1.8,.797,1.1,2.8,3.9,3.5,0.9,0.3,1.6,1.8,8.6,,kenny-williams-3
6,Garrison Brooks,F,36,36,23.0,3.2,5.6,.574,0.0,0.0,,3.2,5.6,.574,.574,1.5,2.3,.639,2.3,3.3,5.6,1.3,0.6,0.5,0.8,2.9,7.9,,garrison-brooks-1
7,Sterling Manley,F,18,0,8.3,1.4,2.5,.578,0.0,0.0,,1.4,2.5,.578,.578,0.6,1.1,.550,0.8,2.2,2.9,0.2,0.2,0.4,0.7,1.4,3.5,,sterling-manley-1
8,Brandon Robinson,G,35,0,11.9,1.2,2.4,.494,0.7,1.4,.460,0.5,1.0,.543,.629,0.3,0.5,.632,0.5,1.1,1.6,1.4,0.4,0.1,0.5,1.4,3.4,,brandon-robinson-2
9,Leaky Black,G,23,0,10.3,1.0,2.1,.469,0.2,0.5,.417,0.8,1.6,.486,.520,0.3,0.3,.857,0.4,1.7,2.1,1.2,0.6,0.2,0.7,1.2,2.5,,rechon-black-1
10,Seventh Woods,G,34,1,10.8,0.9,2.2,.419,0.1,0.3,.400,0.8,1.9,.422,.446,0.5,0.8,.643,0.1,0.9,1.0,2.1,0.9,0.1,1.5,1.1,2.5,,seventh-woods-1
11,Andrew Platek,G,32,0,3.7,0.4,0.9,.467,0.2,0.5,.333,0.3,0.5,.600,.550,0.1,0.1,.500,0.1,0.2,0.3,0.2,0.2,0.1,0.2,0.5,1.1,,andrew-platek-1
12,Brandon Huffman,F,27,0,2.5,0.5,0.8,.591,0.0,0.0,,0.5,0.8,.591,.591,0.2,0.4,.417,0.4,0.5,0.9,0.1,0.1,0.1,0.0,0.3,1.1,,brandon-huffman-1
13,K.J. Smith,G,22,0,1.8,0.3,0.7,.467,0.1,0.3,.429,0.2,0.4,.500,.567,0.2,0.2,.800,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.1,1.0,,kj-smith-1
14,Walker Miller,F,19,0,1.6,0.4,0.6,.583,0.0,0.0,,0.4,0.6,.583,.583,0.1,0.3,.400,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.8,,walker-miller-1
15,Caleb Ellis,G,19,0,1.5,0.2,0.3,.667,0.1,0.1,1.000,0.2,0.3,.600,.750,0.1,0.2,.333,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.5,,caleb-ellis-1
16,Shea Rush,F,19,0,1.4,0.0,0.4,.000,0.0,0.1,.000,0.0,0.3,.000,.000,0.1,0.3,.400,0.2,0.2,0.3,0.1,0.1,0.0,0.2,0.2,0.1,,shea-rush-1
,Team Totals,,36,,40.1,31.1,66.9,.464,8.7,23.9,.362,22.4,43.0,.521,.529,15.0,20.2,.743,13.3,30.9,44.1,18.8,7.0,3.3,13.1,17.0,85.8,,-9999
